year,spawners,fit_ricker,recruits
1979,7731.111797,28.2291,604.627
1980,7052.040389,25.8317,92.9349
1981,16384.40001,57.4473,48.1131
1982,33655.50387,108.825,58.656
1983,44947.52971,137.845,458.712
1984,42302.40967,131.352,171.72
1985,29002.73375,95.8488,41.3929
1986,36030.88692,115.216,174.578
1987,44470.11618,136.686,950.931
1988,34688.92612,111.625,109.503
1989,27320.04674,91.0028,7.89015
1990,45047.84056,138.087,0.11931
1991,56336.55945,163.79,773.884
1992,32533.56555,105.752,20.11
1993,23191.09769,78.759,0.0112761
1994,30505.74307,100.108,63.6327
1995,47468.63908,143.866,370.796
1996,25067.57204,84.3862,179.695
1997,17854.67052,62.172,333.81
1998,28424.23775,94.1921,390.577
1999,31788.50945,103.692,148.277
2000,35789.58972,114.574,314.533
2001,49224.7404,147.965,383.068
2002,49901.01193,149.523,260.289
2003,50018.078,149.792,984.346
2004,54741.06572,160.346,183.853
2005,58807.1827,169.004,243.936
2006,83862.84971,214.302,295.195
2007,104088.494,241.925,327.064
2008,85753.54395,217.199,414.901
2009,73510.87987,197.189,296.714
2010,70594.25913,191.972,268.762
2011,85721.79722,217.151,87.4727
2012,102639.388,240.183,48.3122
2013,96461.01105,232.358,195.949
2014,88226.04114,220.887,46.378
2015,63305.95913,178.136,767.929
2016,68345.09138,187.826,37.6982
2017,54648.80178,160.145,267.24
2018,55466.39035,161.919,254.881
2019,64127.84673,179.755,3360.95
2020,48756.14542,146.879,74.8291
2021,52916.40027,156.333,689.681
